configurationID,H264,no_8x8dct,no_asm,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,ref,size,usertime,systemtime,elapsedtime
433,true,true,false,false,true,true,true,false,false,20,5,4223999,40.072,0.376,4.064
434,true,true,false,false,true,false,false,true,false,60,9,3105105,40.216,0.552,4.527
435,true,false,false,false,true,false,true,false,true,20,1,4317441,30.548,0.332,2.816
436,true,true,false,false,true,true,true,true,false,60,1,4264726,28.632,0.412,2.730
437,true,true,false,false,true,false,false,true,false,60,1,3130752,26.876,0.508,3.770
438,true,false,false,false,true,false,true,false,true,20,5,4290300,41.604,0.500,4.267
439,true,true,false,false,true,false,false,true,false,60,5,3105818,32.424,0.488,4.028
44,true,false,false,true,true,false,false,true,true,20,1,3620772,27.600,0.368,3.186
440,true,false,false,false,true,false,true,false,true,20,9,4286491,53.192,0.544,5.642
441,true,true,false,false,false,true,true,false,true,20,1,4261016,28.788,0.376,2.683
442,true,false,false,true,true,true,false,true,false,20,9,3602393,44.016,0.512,4.492
443,true,false,false,true,true,true,false,true,false,20,5,3607189,34.700,0.512,3.634
444,true,false,false,true,true,true,false,false,false,40,9,3608455,51.464,0.512,5.899
445,true,false,false,true,true,true,false,false,false,60,1,3642388,28.960,0.452,3.982
446,true,true,false,true,true,true,true,false,false,20,5,4828682,39.740,0.432,4.085
447,true,false,false,true,true,true,false,false,false,60,5,3618495,40.072,0.516,4.989
448,true,true,false,true,true,true,true,false,false,20,1,4879503,28.444,0.332,2.715
449,true,true,false,true,false,false,true,true,false,60,1,4819393,28.176,0.348,2.708
45,true,false,false,true,true,false,false,true,true,40,1,3650318,28.248,0.508,3.559
450,true,false,false,false,false,true,false,false,true,20,9,3116603,52.024,0.528,5.726
451,true,false,false,false,false,true,false,false,true,20,5,3119046,39.648,0.556,4.404
452,true,false,false,true,true,true,false,true,false,40,1,3640394,28.064,0.428,3.515
453,true,false,false,false,false,true,false,false,true,20,1,3141354,28.076,0.436,3.182
454,true,true,false,false,false,true,true,false,true,20,5,4221800,40.376,0.436,4.066
455,true,true,false,false,false,true,true,false,true,20,9,4215581,52.756,0.472,5.560
456,true,true,false,false,true,true,true,true,false,60,5,4241577,35.360,0.368,3.288
457,true,true,false,true,false,false,true,true,false,60,5,4802151,33.876,0.468,3.229
458,true,true,false,true,true,true,true,false,false,20,9,4820867,52.376,0.436,5.568
459,true,true,false,false,true,true,true,true,false,60,9,4243834,44.760,0.376,4.220
46,true,true,false,false,true,false,false,true,true,60,1,3154299,27.092,0.416,3.809
460,true,true,false,true,false,false,true,true,false,60,9,4799873,42.044,0.380,3.923
461,true,true,false,false,true,false,false,true,false,40,5,3103543,31.788,0.412,3.613
462,true,false,false,true,false,true,true,true,false,60,5,4869232,37.608,0.468,3.577
463,true,true,false,false,true,false,false,false,false,60,9,3085284,46.776,0.552,5.526
464,true,true,false,false,true,false,false,true,false,40,9,3103959,39.728,0.468,4.199
465,true,true,false,false,true,true,true,false,false,60,1,4264726,28.652,0.324,2.691
466,true,false,false,true,false,true,true,true,false,60,9,4864254,46.968,0.400,4.454
467,true,true,false,false,true,false,false,false,false,60,5,3090694,36.484,0.560,4.615
468,true,true,false,false,true,false,false,false,false,60,1,3130752,26.732,0.532,3.702
469,true,true,false,false,true,false,false,true,false,40,1,3129472,26.712,0.460,3.572
47,true,false,false,true,false,true,true,true,true,40,5,4932710,37.660,0.464,3.532
470,true,false,false,true,false,false,false,true,false,60,1,3582617,28.080,0.520,3.700
471,true,false,false,true,true,true,false,true,true,60,5,3672348,35.688,0.548,4.176
472,true,false,false,true,false,false,false,true,false,60,5,3573723,34.204,0.352,4.142
473,true,false,false,true,true,true,false,true,true,60,9,3664249,44.908,0.564,4.832
474,true,false,false,true,true,true,false,false,false,20,5,3587462,39.288,0.408,4.339
475,true,false,false,true,false,false,false,true,false,60,9,3567317,41.820,0.492,4.688
476,true,false,false,true,true,true,false,false,false,20,9,3581093,51.196,0.476,5.704
477,true,false,false,true,true,true,false,true,true,60,1,3671426,28.644,0.488,3.854
478,true,false,false,true,true,true,false,false,false,40,1,3640394,28.428,0.428,3.610
479,true,true,false,true,true,true,true,false,false,40,9,4820867,52.320,0.452,5.607
